"The State of Mac Malware: How macOS Became a First-Class Target", Proving Ground,Tuesday, 18:00-18:15, Firenze
"The Synthetic Insider: Securing Non-Human Identities in Cloud Workflows", PasswordsCon,Tuesday, 18:30-19:00, Siena
"The Timing of Exploitation Evidence and Prediction", Ground Truth,Monday, 14:00-15:00, Florentine E
"The Water Must Flow", I Am The Cavalry,Monday, 14:00-16:00, Copa
"Threat Actors: Gotta Catch Them All", Training Ground,Monday, 10:30-14:30, H114
"To catch a PseudoScientist  - TOKEN: 6", Skytalks,Monday, 18:30-18:45, Tuscany
"Tour de Graph: From logs to leads", Training Ground,Monday, 10:30-14:30, H110
"Translating Cybersecurity Expertise into Community Practice: Lessons from Minneapolis Mutual Aid Work - TOKEN: 8", Skytalks,Tuesday, 11:15-11:45, Tuscany
"Trust No Agent: Cryptographic Identity and Verifiable Messaging for AI", Common Ground,Tuesday, 11:00-11:30, Florentine F
"Turning GitHub Issues Into RCE: Exploiting AI Agents in CI/CD Pipelines", [un]prompted,Monday, 14:30-15:00, Siena
"Vibe Coding a Backport: Deep Dive into Backported Patch Generation", Training Ground,Wednesday, 10:00-11:30, H112
"Victim as a Service: Engaging with Trust Based Scams using AI", Ground Truth,Monday, 11:00-11:30, Florentine E
"Watching Agents Work: A Behavioral Audit of 189 Offensive-Security LLM Runs", Ground Truth,Monday, 18:00-18:45, Florentine E
"What Bounds Your Coding Agent? A Field Guide to Access, Inputs, Supply Chain, and Hooks", Common Ground,Wednesday, 11:00-11:45, Florentine F
"When CI Trusts Attackers: Exploiting Metadata Injection in GitHub Actions for Supply Chain Compromise", Breaking Ground,Tuesday, 15:30-16:00, Florentine A
"Who Goes There? Actively Detecting Intruders With Cyber Deception Tools", PasswordsCon,Tuesday, 18:00-18:30, Siena
"Who Let the DAGs Out: When Your Orchestrator Plays the Wrong Tune", Breaking Ground,Wednesday, 10:30-11:15, Florentine A
"Wi-Fight Club: I am Jack’s Evil Twin", Training Ground,Tuesday, 10:30-18:30, H110
"Winning From Constraints", Training Ground,Monday, 15:00-19:00, H110
"X-Ray Specs for Agents: Pentesting MCPs, Skills, and the Plugin Supply Chain", Common Ground,Tuesday, 11:30-12:15, Florentine F
"Your Airspace Has a Security Problem: A Field Guide to Counter-UAS", Common Ground,Monday, 17:00-17:45, Florentine F
"Your Context is Mine! When a Single Drop Poisons the AI Agent’s Well", Ground Truth,Tuesday, 15:00-15:45, Florentine E
"Your Next Breach Won’t Have an Attacker - TOKEN: 2", Skytalks,Monday, 11:00-11:30, Tuscany
"Your Red Team Doesn’t Follow a Kill Chain: What 95 Engagements Actually Look Like", Breaking Ground,Tuesday, 11:00-11:30, Florentine A
"Your Training Data Is Too Boring: Surfacing the Long Tail With Anomaly Detection and LLMs", Ground Truth,Wednesday, 10:00-10:45, Florentine E
"from_pretrained() to from_pwned(): How One JSON Field Breaks HuggingFace’s Security Model", [un]prompted,Monday, 15:00-15:30, Siena
